,,,,,,,
,,,,,,,
,,YTD Year 00,,,,,YTD Year 01
New lauch product,Segment,Values WAP 0 LC,,,New lauch product,Segment,Values WAP 0 LC
BRAND 1073,MARKET 15,"3,765,101,240",,,BRAND 443,MARKET 42,"4,808,973,020"
BRAND 1083,MARKET 53,"3,212,431,346",,,BRAND 444,MARKET 27,"4,797,015,913"
BRAND 1089,MARKET 70,"1,597,075,997",,,BRAND 445,MARKET 08,"4,792,268,978"
BRAND 1090,MARKET 01,"1,026,292,116",,,BRAND 450,MARKET 09,"4,752,433,834"
BRAND 1103,MARKET 157,"4,129,966,404",,,BRAND 451,MARKET 15,"4,737,937,482"
BRAND 1123,MARKET 14,"1,112,055,980",,,BRAND 452,MARKET 01,"4,723,938,956"
BRAND 1126,MARKET 17,"1,006,214,393",,,BRAND 454,MARKET 24,"4,689,576,000"
BRAND 1131,MARKET 55,"3,184,576,287",,,BRAND 455,MARKET 44,"4,674,901,729"
BRAND 1132,MARKET 14,"1,860,813,124",,,BRAND 456,MARKET 33,"4,665,320,986"
BRAND 1144,MARKET 261,"2,093,858,500",,,BRAND 457,MARKET 31,"4,660,211,348"
BRAND 1159,MARKET 11,"1,079,244,023",,,BRAND 458,MARKET 94,"4,659,557,208"
BRAND 1162,MARKET 08,"1,681,892,715",,,BRAND 459,MARKET 19,"4,658,464,758"
BRAND 1166,MARKET 93,"1,170,924,961",,,BRAND 460,MARKET 08,"4,629,508,861"
BRAND 1168,MARKET 44,"1,051,734,789",,,BRAND 461,MARKET 42,"4,621,113,813"
BRAND 1170,MARKET 17,"1,094,960,848",,,BRAND 463,MARKET 10,"4,605,336,001"
BRAND 1173,MARKET 50,"1,384,906,032",,,BRAND 464,MARKET 03,"4,599,432,960"
BRAND 1175,MARKET 15,"1,822,482,899",,,BRAND 465,MARKET 04,"4,596,526,692"
BRAND 1179,MARKET 32,"1,912,816,935",,,BRAND 466,MARKET 42,"4,573,641,578"
BRAND 1182,MARKET 09,"1,064,802,324",,,BRAND 467,MARKET 09,"4,559,743,781"
BRAND 1189,MARKET 03,"1,241,159,442",,,BRAND 469,MARKET 126,"4,555,614,930"
BRAND 1193,MARKET 86,"2,605,127,008",,,BRAND 470,MARKET 154,"4,555,217,703"
BRAND 1203,MARKET 15,"1,710,895,826",,,BRAND 471,MARKET 47,"4,554,266,736"
BRAND 1220,MARKET 156,"1,151,386,934",,,BRAND 472,MARKET 04,"4,553,903,679"
BRAND 1224,MARKET 52,"1,352,745,029",,,BRAND 473,MARKET 10,"4,534,668,662"
BRAND 1244,MARKET 266,"1,997,160,590",,,BRAND 474,MARKET 70,"4,532,502,045"
BRAND 1272,MARKET 100,"1,273,607,853",,,BRAND 475,MARKET 18,"4,520,849,664"
BRAND 1277,MARKET 10,"2,007,372,646",,,BRAND 476,MARKET 30,"4,515,973,652"
BRAND 1278,MARKET 114,"1,301,461,813",,,BRAND 483,MARKET 48,"3,319,174,460"
BRAND 1279,MARKET 44,"3,223,509,101",,,BRAND 484,MARKET 09,"1,156,779,260"
BRAND 1285,MARKET 31,"1,632,516,264",,,BRAND 486,MARKET 80,"4,453,136,638"
BRAND 1313,MARKET 34,"1,933,337,545",,,BRAND 487,MARKET 125,"4,434,302,583"
BRAND 1315,MARKET 15,"1,227,184,282",,,BRAND 489,MARKET 30,"4,428,971,794"
BRAND 1324,MARKET 15,"1,497,868,694",,,BRAND 491,MARKET 67,"4,403,943,564"
BRAND 1355,MARKET 10,"2,466,698,045",,,BRAND 492,MARKET 13,"4,400,694,438"
BRAND 1357,MARKET 229,"2,676,669,395",,,BRAND 493,MARKET 70,"4,370,572,678"
BRAND 1371,MARKET 31,"1,078,343,677",,,BRAND 494,MARKET 42,"4,354,431,552"
BRAND 1377,MARKET 95,"1,030,413,709",,,BRAND 495,MARKET 27,"4,337,685,780"
BRAND 1400,MARKET 102,"1,925,140,682",,,BRAND 496,MARKET 35,"4,322,630,391"
BRAND 1408,MARKET 78,"1,619,667,726",,,BRAND 497,MARKET 80,"4,307,418,717"
BRAND 1412,MARKET 09,"1,348,545,768",,,BRAND 498,MARKET 94,"4,304,333,249"
BRAND 1420,MARKET 65,"1,160,482,803",,,BRAND 499,MARKET 105,"4,299,097,459"
BRAND 1450,MARKET 02,"2,957,737,076",,,BRAND 500,MARKET 81,"4,291,608,669"
BRAND 1475,MARKET 211,"1,305,545,789",,,BRAND 502,MARKET 06,"4,284,464,293"
BRAND 1476,MARKET 196,"1,083,257,367",,,BRAND 503,MARKET 20,"4,255,008,570"
BRAND 1498,MARKET 10,"1,450,454,040",,,BRAND 504,MARKET 108,"4,254,992,523"
BRAND 1505,MARKET 09,"1,305,435,099",,,BRAND 505,MARKET 166,"4,252,217,077"
BRAND 1541,MARKET 111,"1,003,758,552",,,BRAND 508,MARKET 19,"4,239,942,904"
BRAND 1545,MARKET 116,"1,061,538,855",,,BRAND 509,MARKET 133,"4,232,587,209"
BRAND 1556,MARKET 11,"2,055,762,616",,,BRAND 510,MARKET 23,"4,219,374,941"
BRAND 1563,MARKET 50,"1,279,729,200",,,BRAND 511,MARKET 49,"4,217,530,196"
BRAND 1586,MARKET 102,"1,084,960,095",,,BRAND 512,MARKET 112,"4,217,299,421"
BRAND 1602,MARKET 102,"2,332,186,975",,,BRAND 514,MARKET 123,"4,216,085,449"
BRAND 1612,MARKET 76,"2,112,802,813",,,BRAND 515,MARKET 09,"4,214,016,011"
BRAND 1644,MARKET 15,"1,967,899,175",,,BRAND 516,MARKET 13,"4,213,565,591"
BRAND 1680,MARKET 98,"1,580,884,925",,,BRAND 520,MARKET 33,"4,189,991,578"
BRAND 1689,MARKET 58,"2,257,084,145",,,BRAND 523,MARKET 76,"691,282,641"
BRAND 1702,MARKET 127,"1,549,073,300",,,BRAND 525,MARKET 03,"4,129,417,597"
BRAND 1746,MARKET 93,"1,330,203,938",,,BRAND 526,MARKET 10,"4,109,322,203"
BRAND 1789,MARKET 70,"1,827,874,561",,,BRAND 529,MARKET 55,"4,035,923,042"
BRAND 1798,MARKET 15,"1,209,759,320",,,BRAND 530,MARKET 95,"4,030,854,129"
BRAND 1810,MARKET 15,"1,441,824,000",,,BRAND 531,MARKET 19,"4,021,377,067"
BRAND 1828,MARKET 03,"1,197,639,300",,,BRAND 532,MARKET 29,"4,007,917,430"
BRAND 1847,MARKET 15,"1,185,029,366",,,BRAND 533,MARKET 15,"4,003,632,214"
BRAND 1876,MARKET 55,"1,530,846,240",,,BRAND 536,MARKET 33,"3,979,873,008"
BRAND 1950,MARKET 42,"1,411,474,947",,,BRAND 537,MARKET 47,"3,954,517,752"
BRAND 2025,MARKET 06,"1,534,001,513",,,BRAND 538,MARKET 62,"3,841,362,422"
BRAND 2098,MARKET 23,"1,012,643,395",,,BRAND 539,MARKET 62,"113,117,641"
BRAND 2121,MARKET 11,"1,208,618,067",,,BRAND 540,MARKET 04,"3,953,111,702"
BRAND 2148,MARKET 15,"1,001,332,835",,,BRAND 541,MARKET 14,"3,951,743,478"
BRAND 2184,MARKET 10,"1,352,645,332",,,BRAND 542,MARKET 23,"3,948,020,169"
BRAND 2274,MARKET 21,"1,659,492,173",,,BRAND 543,MARKET 01,"3,945,470,631"
BRAND 2329,MARKET 32,"1,469,845,924",,,BRAND 544,MARKET 27,"3,919,290,325"
BRAND 2367,MARKET 28,"2,035,709,175",,,BRAND 545,MARKET 09,"3,916,943,458"
BRAND 2370,MARKET 98,"1,230,961,382",,,BRAND 547,MARKET 25,"3,907,838,087"
BRAND 2380,MARKET 06,"1,598,850,389",,,BRAND 548,MARKET 80,"3,903,601,253"
BRAND 2441,MARKET 10,"1,746,471,177",,,BRAND 549,MARKET 29,"3,903,052,217"
BRAND 2453,MARKET 11,"1,597,761,662",,,BRAND 551,MARKET 102,"3,883,814,743"
BRAND 2460,MARKET 31,"1,008,734,913",,,BRAND 552,MARKET 40,"3,872,547,923"
BRAND 2466,MARKET 23,"1,586,272,975",,,BRAND 553,MARKET 112,"3,859,183,800"
BRAND 2473,MARKET 64,"1,127,250,137",,,BRAND 554,MARKET 04,"3,841,458,521"
BRAND 2475,MARKET 49,"3,679,577,792",,,BRAND 555,MARKET 30,"3,838,385,377"
BRAND 2478,MARKET 25,"2,513,301,445",,,BRAND 556,MARKET 61,"3,830,442,640"
BRAND 2674,MARKET 03,"2,588,289,221",,,BRAND 557,MARKET 13,"3,826,299,883"
BRAND 2684,MARKET 09,"1,484,436,039",,,BRAND 558,MARKET 39,"3,816,714,317"
BRAND 2698,MARKET 174,"1,407,817,600",,,BRAND 559,MARKET 61,"3,813,895,555"
BRAND 2713,MARKET 108,"1,031,324,770",,,BRAND 561,MARKET 73,"3,779,023,680"
BRAND 2760,MARKET 62,"1,093,415,128",,,BRAND 562,MARKET 31,"3,774,800,880"
BRAND 2763,MARKET 37,"1,346,479,349",,,BRAND 564,MARKET 19,"3,756,994,737"
BRAND 2789,MARKET 15,"3,266,800,433",,,BRAND 565,MARKET 27,"3,756,790,540"
BRAND 2838,MARKET 10,"1,234,925,886",,,BRAND 567,MARKET 03,"3,744,593,795"
BRAND 2878,MARKET 10,"1,285,848,292",,,BRAND 570,MARKET 23,"3,711,408,000"
BRAND 2932,MARKET 08,"1,022,788,620",,,BRAND 571,MARKET 31,"3,704,568,062"
BRAND 3023,MARKET 88,"1,512,141,950",,,BRAND 572,MARKET 218,"3,699,410,979"
BRAND 3049,MARKET 32,"1,505,764,647",,,BRAND 573,MARKET 30,"3,698,588,489"
BRAND 3091,MARKET 178,"1,127,000,000",,,BRAND 576,MARKET 52,"3,690,491,480"
BRAND 3093,MARKET 94,"1,538,455,000",,,BRAND 577,MARKET 01,"3,677,828,535"
BRAND 3165,MARKET 11,"1,791,914,427",,,BRAND 578,MARKET 35,"3,676,233,413"
BRAND 3174,MARKET 08,"1,780,274,493",,,BRAND 579,MARKET 08,"3,676,222,761"
BRAND 3262,MARKET 09,"1,019,356,383",,,BRAND 580,MARKET 01,"3,674,283,192"
BRAND 3408,MARKET 17,"1,716,197,009",,,BRAND 581,MARKET 04,"3,674,074,138"
BRAND 3490,MARKET 71,"6,459,693,673",,,BRAND 582,MARKET 09,"3,672,546,611"
BRAND 3512,MARKET 93,"2,142,836,606",,,BRAND 585,MARKET 13,"1,291,250,118"
BRAND 3527,MARKET 53,"1,000,845,874",,,BRAND 586,MARKET 30,"1,267,948,795"
BRAND 3545,MARKET 11,"1,438,268,087",,,BRAND 587,MARKET 33,"905,374,696"
BRAND 3564,MARKET 102,"1,478,045,640",,,BRAND 588,MARKET 53,"174,570,393"
BRAND 3582,MARKET 10,"1,661,412,388",,,BRAND 590,MARKET 72,"3,636,616,358"
BRAND 3591,MARKET 17,"1,066,334,787",,,BRAND 596,MARKET 39,"3,586,852,236"
BRAND 3678,MARKET 32,"1,109,926,265",,,BRAND 597,MARKET 81,"3,577,420,597"
BRAND 3685,MARKET 03,"1,760,795,384",,,BRAND 598,MARKET 09,"3,576,997,887"
BRAND 3798,MARKET 03,"1,548,384,022",,,BRAND 599,MARKET 211,"3,564,862,134"
BRAND 3822,MARKET 42,"1,793,458,676",,,BRAND 600,MARKET 23,"3,561,418,600"
BRAND 3837,MARKET 17,"1,403,541,485",,,BRAND 601,MARKET 03,"3,560,232,950"
BRAND 3893,MARKET 18,"1,010,609,760",,,BRAND 602,MARKET 33,"3,554,155,867"
BRAND 4272,MARKET 09,"1,287,425,660",,,BRAND 603,MARKET 09,"3,550,015,507"
BRAND 4310,MARKET 15,"6,716,586,381",,,BRAND 604,MARKET 10,"3,543,537,736"
BRAND 4443,MARKET 03,"1,001,880,000",,,BRAND 605,MARKET 52,"3,543,024,697"
BRAND 4503,MARKET 100,"1,366,858,932",,,BRAND 606,MARKET 92,"3,534,625,177"
BRAND 4553,MARKET 252,"1,058,337,678",,,BRAND 607,MARKET 03,"3,532,532,567"
BRAND 4612,MARKET 15,"1,288,851,783",,,BRAND 608,MARKET 49,"3,528,704,260"
BRAND 4658,MARKET 35,"1,285,275,790",,,BRAND 609,MARKET 137,"3,521,208,596"
BRAND 4688,MARKET 32,"1,013,969,158",,,BRAND 610,MARKET 88,"3,519,307,659"
BRAND 4746,MARKET 03,"1,103,155,224",,,BRAND 611,MARKET 17,"3,519,200,523"
BRAND 4786,MARKET 28,"3,953,213,569",,,BRAND 612,MARKET 32,"3,518,505,444"
BRAND 4816,MARKET 55,"1,151,270,962",,,BRAND 614,MARKET 33,"3,501,293,440"
BRAND 4822,MARKET 14,"1,397,090,074",,,BRAND 615,MARKET 52,"3,497,313,456"
BRAND 4967,MARKET 16,"1,174,286,429",,,BRAND 616,MARKET 27,"3,495,384,233"
BRAND 5143,MARKET 04,"1,256,640,000",,,BRAND 618,MARKET 78,"3,481,938,349"
BRAND 5285,MARKET 10,"1,022,485,065",,,BRAND 619,MARKET 20,"3,481,726,596"
BRAND 5508,MARKET 131,"1,006,308,799",,,BRAND 621,MARKET 123,"3,478,140,925"
BRAND 6139,MARKET 10,"1,188,968,393",,,BRAND 622,MARKET 09,"3,468,176,327"
BRAND 6214,MARKET 11,"1,056,839,650",,,BRAND 623,MARKET 165,"3,466,930,004"
BRAND 6579,MARKET 55,"1,053,830,449",,,BRAND 624,MARKET 102,"3,461,749,726"
BRAND 7051,MARKET 101,"1,737,406,819",,,BRAND 625,MARKET 58,"3,455,709,069"
BRAND 7112,MARKET 09,"1,171,690,311",,,BRAND 626,MARKET 107,"3,451,637,417"
BRAND 7186,MARKET 52,"1,128,031,570",,,BRAND 627,MARKET 31,"3,450,557,114"
BRAND 7251,MARKET 35,"2,595,608,850",,,BRAND 628,MARKET 19,"3,449,458,791"
BRAND 7655,MARKET 01,"3,689,533,875",,,BRAND 630,MARKET 31,"3,435,682,383"
BRAND 7780,MARKET 181,"23,921,570",,,BRAND 631,MARKET 31,"3,435,296,530"
BRAND 8531,MARKET 156,"1,066,513,894",,,BRAND 633,MARKET 72,"3,424,344,834"
BRAND 8887,MARKET 08,"21,841,260",,,BRAND 634,MARKET 200,"3,419,640,000"
BRAND 9712,MARKET 13,"198,251,224",,,BRAND 637,MARKET 13,"3,379,733,152"
BRAND 9946,MARKET 73,"21,585,680",,,BRAND 638,MARKET 76,"3,359,312,353"
BRAND 9952,MARKET 102,"17,236,011",,,BRAND 639,MARKET 36,"3,352,651,344"
BRAND 9958,MARKET 02,"1,502,751,650",,,BRAND 640,MARKET 13,"3,352,621,148"
BRAND 9960,MARKET 08,"11,022,413",,,BRAND 641,MARKET 08,"3,351,248,557"
BRAND 9965,MARKET 48,"46,334,071",,,BRAND 642,MARKET 23,"3,344,069,887"
BRAND 9977,MARKET 53,"202,893,790",,,BRAND 646,MARKET 123,"3,314,829,333"
BRAND 9993,MARKET 23,"40,786,696",,,BRAND 648,MARKET 94,"3,310,895,401"
BRAND 9994,MARKET 17,"196,691,656",,,BRAND 649,MARKET 01,"3,307,250,069"
BRAND 9995,MARKET 88,"131,484,535",,,BRAND 650,MARKET 123,"3,301,823,083"
BRAND 9996,MARKET 88,"5,247,990",,,BRAND 651,MARKET 177,"3,300,893,552"
BRAND 10004,MARKET 13,"74,607,654",,,BRAND 652,MARKET 170,"3,297,561,508"
BRAND 10007,MARKET 190,"173,059,296",,,BRAND 653,MARKET 01,"3,295,632,833"
BRAND 10008,MARKET 15,"44,262,304",,,BRAND 654,MARKET 42,"3,291,320,598"
BRAND 10010,MARKET 23,"327,173,667",,,BRAND 655,MARKET 42,"3,283,596,002"
BRAND 10027,MARKET 09,"9,403,830",,,BRAND 656,MARKET 30,"2,482,377,631"
BRAND 10042,MARKET 174,"210,606,480",,,BRAND 657,MARKET 08,"800,060,616"
BRAND 10048,MARKET 75,"51,359,200",,,BRAND 659,MARKET 09,"3,264,108,927"
BRAND 10062,MARKET 13,"15,669,072",,,BRAND 660,MARKET 25,"3,260,426,947"
BRAND 10070,MARKET 95,"11,255,772",,,BRAND 661,MARKET 18,"3,259,883,908"
BRAND 10074,MARKET 55,"254,001,623",,,BRAND 662,MARKET 20,"3,259,561,427"
BRAND 10075,MARKET 55,"640,279,348",,,BRAND 664,MARKET 177,"3,258,083,792"
BRAND 10093,MARKET 09,"12,364,616",,,BRAND 666,MARKET 13,"3,241,424,796"
BRAND 10102,MARKET 52,"59,878,858",,,BRAND 667,MARKET 19,"3,240,251,661"
BRAND 10116,MARKET 10,"327,251,434",,,BRAND 668,MARKET 27,"3,231,558,639"
BRAND 10125,MARKET 174,"10,174,628",,,BRAND 669,MARKET 09,"3,229,810,806"
BRAND 10136,MARKET 21,"32,846,089",,,BRAND 670,MARKET 23,"3,217,282,830"
BRAND 10148,MARKET 11,"472,108,644",,,BRAND 671,MARKET 116,"3,205,365,735"
BRAND 10153,MARKET 52,"46,628,708",,,BRAND 672,MARKET 136,"3,205,116,825"
BRAND 10162,MARKET 11,"141,540,848",,,BRAND 674,MARKET 04,"3,203,225,731"
BRAND 10170,MARKET 89,"33,496,161",,,BRAND 675,MARKET 13,"3,200,477,676"
BRAND 10184,MARKET 40,"12,516,295",,,BRAND 676,MARKET 03,"3,191,900,383"
BRAND 10186,MARKET 31,"34,856,085",,,BRAND 677,MARKET 11,"3,171,966,332"
BRAND 10187,MARKET 102,"181,305,986",,,BRAND 678,MARKET 09,"3,170,832,524"
BRAND 10191,MARKET 27,"221,674,201",,,BRAND 680,MARKET 169,"3,158,861,075"
BRAND 10199,MARKET 17,"27,562,950",,,BRAND 681,MARKET 16,"3,158,251,866"
BRAND 10202,MARKET 19,"197,358,012",,,BRAND 682,MARKET 10,"3,155,724,383"
BRAND 10210,MARKET 102,"460,486,712",,,BRAND 684,MARKET 32,"3,135,941,050"
BRAND 10223,MARKET 09,"128,627,100",,,BRAND 685,MARKET 102,"3,134,044,705"
BRAND 10224,MARKET 09,"4,099,221",,,BRAND 686,MARKET 15,"3,127,134,289"
BRAND 10229,MARKET 10,"4,921,041",,,BRAND 687,MARKET 08,"3,108,081,335"
BRAND 10230,MARKET 194,"555,786,217",,,BRAND 688,MARKET 09,"3,103,884,736"
BRAND 10231,MARKET 89,"96,353,208",,,BRAND 689,MARKET 27,"3,102,826,403"
BRAND 10232,MARKET 194,"150,629,232",,,BRAND 691,MARKET 09,"3,097,930,536"
BRAND 10236,MARKET 75,"212,584,389",,,BRAND 692,MARKET 80,"3,088,763,838"
BRAND 10240,MARKET 102,"297,898,716",,,BRAND 693,MARKET 74,"3,084,355,238"
BRAND 10252,MARKET 11,"1,792,618",,,BRAND 694,MARKET 46,"3,083,462,550"
BRAND 10265,MARKET 15,"47,184,906",,,BRAND 695,MARKET 27,"3,081,392,605"
BRAND 10266,MARKET 194,"42,716,701",,,BRAND 696,MARKET 31,"3,079,056,961"
BRAND 10271,MARKET 62,"56,187,394",,,BRAND 697,MARKET 43,"3,075,512,400"
BRAND 10272,MARKET 42,"18,510,169",,,BRAND 698,MARKET 01,"3,075,233,271"
BRAND 10276,MARKET 09,"71,218,722",,,BRAND 699,MARKET 23,"3,072,736,944"
BRAND 10285,MARKET 31,"4,394,298",,,BRAND 700,MARKET 02,"3,072,010,899"
BRAND 10293,MARKET 09,"4,644,370",,,BRAND 702,MARKET 88,"3,067,693,221"
BRAND 10294,MARKET 09,"5,317,467",,,BRAND 703,MARKET 09,"3,048,835,730"
BRAND 10295,MARKET 102,"34,408,244",,,BRAND 704,MARKET 62,"3,044,880,820"
BRAND 10301,MARKET 42,"17,568,090",,,BRAND 705,MARKET 09,"3,041,779,648"
BRAND 10302,MARKET 123,"35,378,675",,,BRAND 706,MARKET 100,"3,036,838,995"
BRAND 10303,MARKET 40,"163,414,608",,,BRAND 707,MARKET 13,"3,020,471,738"
BRAND 10304,MARKET 56,"112,882,224",,,BRAND 708,MARKET 27,"3,020,247,572"
BRAND 10305,MARKET 93,"5,837,939",,,BRAND 710,MARKET 30,"809,168,561"
BRAND 10307,MARKET 93,"6,377,594",,,BRAND 712,MARKET 27,"3,015,399,905"
BRAND 10308,MARKET 27,"249,703,958",,,BRAND 713,MARKET 71,"3,005,680,811"
BRAND 10312,MARKET 13,"17,318,310",,,BRAND 715,MARKET 65,"2,989,995,120"
BRAND 10313,MARKET 108,"645,225,991",,,BRAND 716,MARKET 09,"2,989,734,026"
BRAND 10315,MARKET 31,"172,400,514",,,BRAND 717,MARKET 198,"2,986,060,704"
BRAND 10320,MARKET 70,"361,988,827",,,BRAND 718,MARKET 55,"2,984,510,645"
BRAND 10322,MARKET 39,"62,403,600",,,BRAND 719,MARKET 165,"2,978,571,745"
BRAND 10323,MARKET 08,"94,198,020",,,BRAND 720,MARKET 53,"2,975,205,460"
BRAND 10324,MARKET 40,"14,259,315",,,BRAND 721,MARKET 10,"2,973,779,986"
BRAND 10325,MARKET 39,"12,842,794",,,BRAND 722,MARKET 10,"2,972,724,723"
BRAND 10326,MARKET 09,"134,405,591",,,BRAND 724,MARKET 11,"2,967,874,990"
BRAND 10327,MARKET 17,"175,103,468",,,BRAND 725,MARKET 51,"2,950,979,955"
BRAND 10328,MARKET 03,"233,276,711",,,BRAND 726,MARKET 46,"2,949,634,276"
BRAND 10329,MARKET 16,"366,740,397",,,BRAND 727,MARKET 23,"2,949,200,993"
BRAND 10331,MARKET 10,"56,142,828",,,BRAND 730,MARKET 31,"2,940,810,497"
BRAND 10332,MARKET 27,"88,470,954",,,BRAND 732,MARKET 175,"2,931,876,619"
BRAND 10333,MARKET 101,"25,511,184",,,BRAND 733,MARKET 08,"2,930,430,700"
BRAND 10335,MARKET 101,"181,809,672",,,BRAND 734,MARKET 145,"2,927,085,000"
BRAND 10337,MARKET 23,"523,750,245",,,BRAND 735,MARKET 15,"2,922,955,861"
BRAND 10338,MARKET 23,"8,851,370",,,BRAND 736,MARKET 21,"2,920,713,582"
BRAND 10339,MARKET 23,"10,324,096",,,BRAND 737,MARKET 31,"2,918,272,258"
BRAND 10340,MARKET 18,"640,389,414",,,BRAND 738,MARKET 09,"2,674,897,217"
BRAND 10343,MARKET 119,"34,188,481",,,BRAND 739,MARKET 76,"242,528,852"
BRAND 10344,MARKET 89,"3,691,368",,,BRAND 741,MARKET 120,"2,913,261,771"
BRAND 10345,MARKET 18,"61,274,480",,,BRAND 743,MARKET 33,"2,911,160,362"
BRAND 10348,MARKET 106,"29,209,521",,,BRAND 744,MARKET 23,"2,909,640,166"
BRAND 10349,MARKET 17,"131,814,900",,,BRAND 745,MARKET 27,"2,908,658,591"
BRAND 10350,MARKET 09,"939,965,285",,,BRAND 746,MARKET 72,"2,908,376,769"
BRAND 10351,MARKET 15,"9,995,106",,,BRAND 747,MARKET 102,"2,390,860,052"
BRAND 10352,MARKET 35,"42,935,397",,,BRAND 748,MARKET 09,"443,769,772"
BRAND 10353,MARKET 03,"22,980,672",,,BRAND 749,MARKET 187,"70,645,432"
BRAND 10355,MARKET 102,"7,582,834",,,BRAND 750,MARKET 08,"2,894,158,847"
BRAND 10356,MARKET 11,"560,155,680",,,BRAND 751,MARKET 15,"2,888,158,529"
BRAND 10359,MARKET 27,"115,408,608",,,BRAND 752,MARKET 13,"2,886,400,952"
BRAND 10360,MARKET 123,"3,430,457",,,BRAND 754,MARKET 06,"2,855,927,846"
BRAND 10361,MARKET 123,"3,369,259",,,BRAND 755,MARKET 33,"2,851,877,886"
BRAND 10362,MARKET 123,"12,117,094",,,BRAND 756,MARKET 43,"2,849,475,785"
BRAND 10363,MARKET 272,"91,029,275",,,BRAND 757,MARKET 09,"2,848,352,908"
BRAND 10365,MARKET 15,"104,953,968",,,BRAND 759,MARKET 16,"2,831,495,610"
BRAND 10367,MARKET 09,"18,623,297",,,BRAND 760,MARKET 23,"2,830,769,329"
BRAND 10368,MARKET 79,"113,296,320",,,BRAND 761,MARKET 09,"2,826,133,740"
BRAND 10369,MARKET 11,"75,459,131",,,BRAND 762,MARKET 31,"2,824,673,942"
BRAND 10371,MARKET 11,"243,784,372",,,BRAND 764,MARKET 42,"2,822,259,468"
BRAND 10372,MARKET 11,"8,427,522",,,BRAND 765,MARKET 35,"2,818,001,016"
BRAND 10373,MARKET 08,"16,735,702",,,BRAND 766,MARKET 236,"2,813,172,104"
BRAND 10374,MARKET 240,"2,279,207",,,BRAND 767,MARKET 48,"2,806,603,759"
BRAND 10375,MARKET 40,"6,983,676",,,BRAND 768,MARKET 14,"2,799,807,400"
BRAND 10377,MARKET 102,"19,257,252",,,BRAND 769,MARKET 08,"2,799,773,545"
BRAND 10378,MARKET 13,"366,511,621",,,BRAND 770,MARKET 39,"2,794,410,693"
BRAND 10379,MARKET 09,"63,155,214",,,BRAND 771,MARKET 01,"2,788,884,102"
BRAND 10382,MARKET 11,"6,432,710",,,BRAND 772,MARKET 33,"2,788,878,062"
BRAND 10383,MARKET 72,"93,761,623",,,BRAND 773,MARKET 04,"2,785,587,355"
BRAND 10384,MARKET 14,"145,675,671",,,BRAND 774,MARKET 01,"2,781,824,820"
BRAND 10387,MARKET 76,"59,771,604",,,BRAND 775,MARKET 93,"2,780,173,472"
BRAND 10388,MARKET 13,"122,435,863",,,BRAND 776,MARKET 06,"2,778,228,943"
BRAND 10392,MARKET 112,"30,364,497",,,BRAND 777,MARKET 27,"2,776,783,780"
BRAND 10393,MARKET 72,"4,866,523",,,BRAND 778,MARKET 174,"2,774,695,540"
BRAND 10395,MARKET 108,"151,070,488",,,BRAND 779,MARKET 11,"2,772,074,294"
BRAND 10397,MARKET 31,"10,646,865",,,BRAND 780,MARKET 73,"2,769,913,629"
BRAND 10398,MARKET 09,"25,012,598",,,BRAND 781,MARKET 40,"2,769,421,083"
BRAND 10399,MARKET 09,"132,066,515",,,BRAND 782,MARKET 10,"2,765,842,599"
BRAND 10400,MARKET 123,"101,373,540",,,BRAND 783,MARKET 89,"2,762,878,148"
BRAND 10401,MARKET 23,"465,456,338",,,BRAND 784,MARKET 33,"2,755,961,260"
BRAND 10402,MARKET 48,"16,868,093",,,BRAND 785,MARKET 36,"2,754,846,064"
BRAND 10403,MARKET 17,"45,426,624",,,BRAND 787,MARKET 19,"2,748,890,658"
BRAND 10404,MARKET 09,"35,017,637",,,BRAND 788,MARKET 57,"2,746,531,674"
BRAND 10405,MARKET 17,"532,836,909",,,BRAND 789,MARKET 34,"2,740,830,428"
BRAND 10406,MARKET 11,"88,044,343",,,BRAND 790,MARKET 53,"2,740,616,086"
BRAND 10407,MARKET 23,"12,574,450",,,BRAND 791,MARKET 21,"2,738,295,530"
BRAND 10408,MARKET 09,"25,100,900",,,BRAND 793,MARKET 08,"2,735,732,818"
BRAND 10411,MARKET 52,"35,835,822",,,BRAND 794,MARKET 88,"2,733,308,671"
BRAND 10412,MARKET 123,"6,414,392",,,BRAND 795,MARKET 08,"2,733,167,860"
BRAND 10413,MARKET 115,"52,912,483",,,BRAND 797,MARKET 93,"2,725,411,252"
BRAND 10414,MARKET 08,"74,057,424",,,BRAND 798,MARKET 08,"2,723,138,347"
BRAND 10416,MARKET 181,"550,009,200",,,BRAND 799,MARKET 62,"2,720,884,221"
BRAND 10417,MARKET 42,"61,488,798",,,BRAND 800,MARKET 40,"2,718,703,836"
BRAND 10418,MARKET 53,"118,649,338",,,BRAND 801,MARKET 82,"2,716,723,651"
BRAND 10419,MARKET 17,"330,792,630",,,BRAND 802,MARKET 123,"2,713,543,149"
BRAND 10420,MARKET 17,"105,829,430",,,BRAND 803,MARKET 23,"2,712,529,215"
BRAND 10421,MARKET 204,"41,065,718",,,BRAND 804,MARKET 124,"2,709,174,842"
BRAND 10422,MARKET 03,"87,416,143",,,BRAND 805,MARKET 08,"2,701,089,400"
BRAND 10423,MARKET 39,"141,722,217",,,BRAND 806,MARKET 08,"2,700,552,032"
BRAND 10425,MARKET 174,"175,505,400",,,BRAND 807,MARKET 33,"2,695,247,652"
